date,winners,losers
2013-02-07 20:00:00,"[32, 29, 31, 33, 30]","[11, 9, 12, 10, 13]"
2013-02-07 21:00:00,"[20, 15, 23, 22, 14]","[18, 21, 16, 17, 19]"
2013-02-07 22:00:00,"[29, 32, 33, 31, 30]","[43, 35, 38, 44, 37]"
2013-02-07 23:00:00,"[11, 9, 12, 10, 13]","[42, 40, 36, 39, 41]"
2013-02-09 00:00:00,"[15, 20, 22, 23, 14]","[29, 32, 33, 31, 30]"
2013-02-09 01:00:00,"[11, 9, 12, 10, 13]","[18, 21, 16, 17, 19]"
2013-02-09 02:00:00,"[20, 15, 23, 22, 14]","[43, 35, 38, 44, 37]"
2013-02-09 03:00:00,"[21, 18, 17, 16, 19]","[42, 40, 36, 39, 41]"
2013-02-09 16:00:00,"[78, 76, 77, 79, 75]","[115, 118, 119, 117, 116]"
2013-02-09 17:00:00,"[83, 82, 80, 84, 81]","[87, 90, 91, 89, 88]"
2013-02-09 18:00:00,"[76, 78, 79, 77, 75]","[111, 110, 108, 107, 109]"
2013-02-10 16:00:00,"[90, 87, 89, 91, 88]","[76, 78, 79, 77, 75]"
2013-02-10 18:00:00,"[111, 110, 108, 107, 109]","[87, 90, 91, 89, 88]"
2013-02-10 19:00:00,"[115, 118, 119, 117, 116]","[83, 82, 80, 84, 81]"
2013-02-14 20:00:00,"[21, 18, 17, 16, 19]","[48, 45, 47, 49, 46]"
2013-02-14 21:00:00,"[11, 9, 12, 10, 13]","[42, 40, 36, 39, 41]"
2013-02-14 22:00:00,"[20, 15, 23, 22, 14]","[27, 24, 26, 28, 25]"
2013-02-14 23:00:00,"[18, 21, 16, 17, 19]","[11, 9, 12, 10, 13]"
2013-02-16 00:00:00,"[20, 15, 23, 22, 14]","[42, 40, 36, 39, 41]"
2013-02-16 01:00:00,"[21, 18, 17, 16, 19]","[224, 35, 43, 199, 37]"
2013-02-16 02:00:00,"[11, 9, 12, 10, 13]","[48, 45, 47, 49, 46]"
2013-02-16 03:00:00,"[35, 224, 199, 43, 37]","[42, 40, 36, 39, 41]"
2013-02-16 16:00:00,"[82, 83, 84, 80, 81]","[100, 97, 99, 101, 156]"
2013-02-16 19:00:00,"[83, 82, 80, 84, 81]","[115, 118, 119, 117, 116]"
2013-02-17 16:00:00,"[82, 83, 84, 80, 81]","[111, 110, 108, 107, 109]"
2013-02-17 17:00:00,"[100, 97, 99, 101, 156]","[115, 118, 119, 117, 116]"
2013-02-21 20:00:00,"[42, 40, 36, 39, 41]","[29, 32, 33, 31, 30]"
2013-02-21 21:00:00,"[20, 15, 23, 22, 14]","[224, 35, 43, 199, 37]"
2013-02-21 22:00:00,"[18, 21, 16, 17, 19]","[29, 32, 33, 31, 30]"
2013-02-21 23:00:00,"[40, 42, 39, 36, 41]","[27, 24, 26, 28, 25]"
2013-02-23 00:00:00,"[48, 45, 47, 49, 46]","[35, 224, 199, 43, 37]"
2013-02-23 01:00:00,"[29, 32, 33, 31, 30]","[27, 24, 26, 28, 25]"
2013-02-23 02:00:00,"[40, 42, 39, 36, 41]","[48, 45, 47, 49, 46]"
2013-02-23 03:00:00,"[27, 24, 26, 28, 25]","[35, 224, 199, 43, 37]"
2013-02-23 17:00:00,"[87, 90, 91, 89, 88]","[111, 110, 108, 107, 109]"
2013-02-23 19:00:00,"[76, 78, 79, 77, 75]","[83, 82, 80, 84, 81]"
2013-02-24 16:00:00,"[110, 111, 107, 108, 109]","[100, 97, 99, 101, 156]"
2013-02-27 18:00:00,"[29, 32, 33, 31, 30]","[42, 40, 36, 39, 41]"
2013-02-27 19:00:00,"[20, 15, 23, 22, 14]","[48, 45, 47, 49, 46]"
2013-02-27 20:00:00,"[11, 9, 12, 10, 13]","[27, 24, 26, 28, 25]"
2013-02-27 21:00:00,"[29, 32, 33, 31, 30]","[199, 35, 43, 155, 37]"
2013-02-27 22:00:00,"[20, 15, 23, 22, 14]","[27, 24, 26, 28, 25]"
2013-02-28 00:00:00,"[21, 18, 17, 16, 19]","[42, 40, 36, 39, 41]"
2013-02-28 01:00:00,"[48, 45, 47, 49, 46]","[29, 32, 33, 31, 30]"
2013-02-28 02:00:00,"[18, 21, 16, 17, 19]","[20, 15, 23, 22, 14]"
2013-02-28 03:00:00,"[40, 42, 39, 36, 41]","[27, 24, 26, 28, 25]"
2013-02-28 04:00:00,"[21, 18, 17, 16, 19]","[199, 35, 43, 155, 37]"
2013-02-28 05:00:00,"[48, 45, 47, 49, 46]","[11, 9, 12, 10, 13]"
2013-02-28 20:00:00,"[11, 9, 12, 10, 13]","[42, 40, 36, 39, 41]"
2013-02-28 21:00:00,"[21, 18, 17, 16, 19]","[27, 24, 26, 28, 25]"
