date,winners,losers
2010-06-11 22:00:00,[762],[776]
2010-06-11 22:00:00,[772],[775]
2010-06-12 22:00:00,[777],[778]
2010-06-12 22:00:00,[763],[780]
2010-06-12 22:00:00,[759],[779]
2010-06-13 22:00:00,[766],[781]
2010-06-13 22:00:00,[756],[782]
2010-06-14 22:00:00,[764],[785]
2010-06-15 22:00:00,[758],[774]
2010-06-15 22:00:00,[788],[760]
2010-06-15 22:00:00,[767],[789]
2010-06-16 22:00:00,[762],[772]
2010-06-16 22:00:00,[769],[773]
2010-06-16 22:00:00,[775],[776]
2010-06-17 22:00:00,[780],[759]
2010-06-18 22:00:00,[782],[781]
2010-06-18 22:00:00,[756],[766]
2010-06-19 22:00:00,[761],[768]
2010-06-19 22:00:00,[764],[787]
2010-06-20 22:00:00,[765],[785]
2010-06-20 22:00:00,[760],[789]
2010-06-20 22:00:00,[767],[788]
2010-06-21 22:00:00,[774],[773]
2010-06-21 22:00:00,[762],[775]
2010-06-21 22:00:00,[758],[769]
2010-06-22 22:00:00,[759],[763]
2010-06-22 22:00:00,[771],[778]
2010-06-22 22:00:00,[770],[777]
2010-06-22 22:00:00,[779],[780]
2010-06-23 22:00:00,[756],[781]
2010-06-23 22:00:00,[768],[784]
2010-06-23 22:00:00,[766],[782]
2010-06-24 22:00:00,[760],[767]
2010-06-24 22:00:00,[787],[785]
2010-06-25 22:00:00,[758],[772]
2010-06-26 22:00:00,[759],[770]
2010-06-26 22:00:00,[762],[769]
2010-06-27 22:00:00,[756],[768]
2010-06-27 22:00:00,[764],[767]
2010-06-28 22:00:00,[760],[765]
2010-07-01 22:00:00,[756],[764]
2010-07-02 22:00:00,[759],[762]
2010-07-02 22:00:00,[760],[761]
2010-07-05 22:00:00,[756],[758]
2010-07-06 22:00:00,[760],[759]
2010-07-09 22:00:00,[759],[758]
2010-08-05 22:00:00,[513],[545]
2010-08-05 22:00:00,[544],[542]
2010-08-05 22:00:00,[571],[533]
2010-08-05 22:00:00,[510],[556]
